region,year,Number of children measured,Underweight (clinical),Healthy weight (clinical),Overweight (clinical),Obese (clinical),Severely obese (clinical),"Overweight, Obese and severely obese combined (clinical) ",Obese and severely obese combined (clinical) 
All participating NHS Boards,06/07,"25,217",0.5,84.3,9.1,3.7,2.4,15.2,6.1
All participating NHS Boards,07/08,"28,285",0.6,84.9,8.7,3.4,2.3,14.4,5.8
All participating NHS Boards,08/09,"34,470",0.6,85.2,8.6,3.4,2.2,14.2,5.6
All participating NHS Boards,09/10,"45,996",0.5,84.7,8.8,3.6,2.3,14.7,5.9
All participating NHS Boards,10/11,"41,220",0.6,84.7,8.8,3.4,2.6,14.7,6.0
All participating NHS Boards,11/12,"52,544",0.4,84.6,8.8,3.6,2.5,14.9,6.1
All participating NHS Boards,12/13,"54,498",0.3,85.1,8.8,3.4,2.3,14.6,5.7
All participating NHS Boards,13/14,"55,069",0.4,84.1,9.2,3.8,2.6,15.6,6.4
All participating NHS Boards,14/15,"54,995",0.4,84.7,8.7,3.7,2.5,14.9,6.2
All participating NHS Boards,15/16,"53,637",0.4,84.7,8.6,3.7,2.6,14.9,6.3
Aberdeen City,06/07,x,x,x,x,x,x,x,x
Aberdeen City,07/08,x,x,x,x,x,x,x,x
Aberdeen City,08/09,x,x,x,x,x,x,x,x
Aberdeen City,09/10,"1,509",0.6,85.5,7.6,3.6,2.7,13.9,6.3
Aberdeen City,10/11,"1,769",0.6,86.3,7.3,3.2,2.5,13.1,5.7
Aberdeen City,11/12,"1,667",1.2,83.0,9.4,4.1,2.3,15.8,6.4
Aberdeen City,12/13,"1,967",0.3,85.8,8.3,3.2,2.4,13.9,5.6
Aberdeen City,13/14,"1,939",0.4,82.2,10.1,4.3,3.1,17.5,7.4
Aberdeen City,14/15,"1,900",0.3,84.5,8.6,3.3,3.4,15.2,6.6
Aberdeen City,15/16,"1,937",1.2,83.2,8.7,4.0,2.9,15.6,6.9
Aberdeenshire,06/07,x,x,x,x,x,x,x,x
Aberdeenshire,07/08,x,x,x,x,x,x,x,x
Aberdeenshire,08/09,x,x,x,x,x,x,x,x
Aberdeenshire,09/10,"2,593",0.4,85.9,7.8,3.9,2.0,13.7,5.9
Aberdeenshire,10/11,"2,591",0.6,87.2,6.9,3.2,2.1,12.2,5.3
Aberdeenshire,11/12,"2,742",0.3,86.6,7.5,3.4,2.2,13.1,5.6
Aberdeenshire,12/13,"2,701",0.2,85.2,9.2,3.3,2.2,14.6,5.4
Aberdeenshire,13/14,"2,969",0.3,83.4,10.0,3.8,2.6,16.4,6.4
Aberdeenshire,14/15,"3,013",0.2,84.9,8.6,4.0,2.2,14.8,6.3
Aberdeenshire,15/16,"2,890",0.2,83.9,9.0,4.0,2.8,15.9,6.9
Angus,06/07,"1,244",0.5,85.0,9.1,3.1,2.3,14.5,5.4
Angus,07/08,"1,079",0.4,89.6,5.8,2.6,1.6,10.0,4.2
Angus,08/09,"1,205",0.1,82.8,10.7,3.8,2.6,17.1,6.4
Angus,09/10,"1,158",0.3,84.0,9.7,4.1,1.9,15.6,6.0
Angus,10/11,"1,177",0.4,82.2,12.2,3.1,2.0,17.3,5.1
Angus,11/12,"1,169",0.1,83.3,10.1,4.2,2.3,16.6,6.5
Angus,12/13,"1,223",0.1,86.6,8.0,3.6,1.7,13.3,5.3
Angus,13/14,"1,247",0.1,83.3,10.1,3.8,2.7,16.6,6.5
Angus,14/15,"1,188",-,84.2,9.4,4.0,2.4,15.8,6.4
Angus,15/16,"1,174",0.1,86.4,8.6,2.9,2.0,13.5,4.9
Argyll & Bute,06/07,x,x,x,x,x,x,x,x
Argyll & Bute,07/08,x,x,x,x,x,x,x,x
Argyll & Bute,08/09,743,0.4,78.3,13.1,4.7,3.5,21.3,8.2
Argyll & Bute,09/10,769,-,82.2,11.7,3.4,2.7,17.8,6.1
Argyll & Bute,10/11,729,0.1,83.1,9.2,4.7,2.9,16.7,7.5
Argyll & Bute,11/12,732,0.7,83.5,10.9,2.7,2.2,15.8,4.9
Argyll & Bute,12/13,769,0.4,83.6,9.0,4.2,2.9,16.0,7.0
Argyll & Bute,13/14,778,0.5,81.6,11.3,3.7,2.8,17.9,6.6
Argyll & Bute,14/15,776,0.1,82.2,10.7,5.3,1.7,17.7,7.0
Argyll & Bute,15/16,776,0.3,84.0,8.9,3.9,3.0,15.7,6.8
Scottish Borders,06/07,"1,104",0.2,84.2,10.2,3.4,1.9,15.6,5.3
Scottish Borders,07/08,"1,072",0.2,86.4,8.8,2.8,1.9,13.4,4.7
Scottish Borders,08/09,"1,064",0.4,86.1,8.6,2.8,2.1,13.5,4.9
Scottish Borders,09/10,"1,146",0.3,85.3,8.6,4.2,1.7,14.5,5.8
Scottish Borders,10/11,"1,078",0.5,86.5,7.7,2.3,3.1,13.1,5.4
Scottish Borders,11/12,"1,131",0.2,86.1,7.7,3.0,3.0,13.7,6.0
Scottish Borders,12/13,"1,148",-,86.6,8.3,3.9,1.2,13.4,5.1
Scottish Borders,13/14,"1,106",0.1,85.1,9.2,3.4,2.2,14.8,5.6
Scottish Borders,14/15,"1,101",0.1,85.6,8.9,3.3,2.2,14.4,5.4
